Column1,Column2,Column3
ولكن اليهود غير المؤمنين غرّوا وافسدوا نفوس الامم على الاخوة.,أعمال الرسل ١٤ : ٢,الخداع وفساد العالم
ولكن الذي يصبر الى المنتهى فهذا يخلص.,متى ٢٤ : ١٣,الصبر والخلاص
فلم يقدروا ان يمسكوه بكلمة قدام الشعب. وتعجبوا من جوابه وسكتوا,لوقا ٢٠ : ٢٦,الحكمة والدهاء
فلم يقبلوه لان وجهه كان متجها نحو اورشليم.,لوقا ٩ : ٥٣,العزم والاتجاه
فمن ذلك اليوم تشاوروا ليقتلوه.,يوحنا ١١ : ٥٣,قساوة القلب
ويطرحونهم في اتون النار. هناك يكون البكاء وصرير الاسنان.,متى ١٣ : ٤٢,الدينونة والعقاب الأبدي
واما ذلك العبد الذي يعلم ارادة سيده ولا يستعد ولا يفعل بحسب ارادته فيضرب كثيرا.,لوقا ١٢ : ٤٧,المسؤولية والعقاب
مشتركين في احتياجات القديسين. عاكفين على اضافة الغرباء.,رومية ١٢ : ١٣,الضيافة والمشاركة
وهو مات لاجل الجميع كي يعيش الاحياء فيما بعد لا لانفسهم بل للذي مات لاجلهم وقام.,كورنثوس الثانية ٥ : ١٥,الفداء وحياة الإيمان والشراكة بالمسيح
فلما سمع الشاب الكلمة مضى حزينا. لانه كان ذا اموال كثيرة,متى ١٩ : ٢٢,التعلق بالماديات والحزن
قال له نثنائيل من اين تعرفني. اجاب يسوع وقال له. قبل ان دعاك فيلبس وانت تحت التينة رأيتك.,يوحنا ١ : ٤٨,معرفة ما في القلب
يسوع وهو عالم ان الآب قد دفع كل شيء الى يديه وانه من عند الله خرج والى الله يمضي.,يوحنا ١٣ : ٣,السلطان والإرسالية
وعند غروب الشمس جميع الذين كان عندهم سقماء بامراض مختلفة قدموهم اليه فوضع يديه على كل واحد منهم وشفاهم.,لوقا ٤ : ٤٠,الشفاء والرحمة
وفيما انتم ذاهبون اكرزوا قائلين انه قد اقترب ملكوت السموات.,متى ١٠ : ٧,البشارة بملكوت الله
فان من اراد ان يخلّص نفسه يهلكها. ومن يهلك نفسه من اجلي يجدها.,متى ١٦ : ٢٥,المعمودية والقيامة في المسيح
فكان سبعة اخوة. اخذ الاول امرأة ومات ولم يترك نسلا.,مرقس ١٢ : ٢٠,النسل
وانا اقول لكم اصنعوا لكم اصدقاء بمال الظلم حتى اذا فنيتم يقبلونكم في المظال الابدية.,لوقا ١٦ : ٩,الاستثمار الروحي والحكمة
لان جميع الذين هم من اعمال الناموس هم تحت لعنة لانه مكتوب ملعون كل من لا يثبت في جميع ما هو مكتوب في كتاب الناموس ليعمل به.,غلاطية ٣ : ١٠,الناموس واللعنة
ولما خرج من السفينة للوقت استقبله من القبور انسان به روح نجس,مرقس ٥ : ٢,التحرير من الشر
قائلين. يا سيد قد تذكرنا ان ذلك المضل قال وهو حيّ اني بعد ثلاثة ايام اقوم.,متى ٢٧ : ٦٣,القيامة وتحقيق النبوات
قال لها يسوع ألم اقل لك ان آمنت ترين مجد الله.,يوحنا ١١ : ٤٠,الإيمان ومجد الله
لان الناموس اذ له ظل الخيرات العتيدة لا نفس صورة الاشياء لا يقدر ابدا بنفس الذبائح كل سنة التي يقدمونها على الدوام ان يكمّل الذين يتقدمون.,العبرانيين ١٠ : ١,ظل الناموس والخيرات الآتية
ويوحنا هذا كان لباسه من وبر الابل وعلى حقويه منطقة من جلد. وكان طعامه جرادا وعسلا بريا.,متى ٣ : ٤,التواضع والتقشف
قال لها يسوع يا مريم. فالتفتت تلك وقالت له ربوني الذي تفسيره يا معلّم.,يوحنا ٢٠ : ١٦,المعرفة الشخصية مع المسيح والاعتراف به
بل متى دعيت فاذهب واتكئ في الموضع الاخير حتى اذا جاء الذي دعاك يقول لك يا صديق ارتفع الى فوق. حينئذ يكون لك مجد امام المتكئين معك.,لوقا ١٤ : ١٠,التواضع والرفعة
وهم يرتلون ترنيمة موسى عبد الله وترنيمة الخروف قائلين عظيمة وعجيبة هي اعمالك ايها الرب الاله القادر على كل شيء عادلة وحق هي طرقك يا ملك القديسين.,رؤيا يوحنا ١٥ : ٣,التسبيح وعدل الله
اما الآن فاني آتي اليك. واتكلم بهذا في العالم ليكون لهم فرحي كاملا فيهم.,يوحنا ١٧ : ١٣,الفرح الكامل بالمسيح
فداود نفسه يدعوه ربا. فمن اين هو ابنه. وكان الجمع الكثير يسمعه بسرور,مرقس ١٢ : ٣٧,هوية المسيح كربّ
لانه لا بد ان يكون بينكم بدع ايضا ليكون المزكون ظاهرين بينكم.,كورنثوس الأولى ١١ : ١٩,الاختبار والتمييز
ليضيء على الجالسين في الظلمة وظلال الموت لكي يهدي اقدامنا في طريق السلام.,لوقا ١ : ٧٩,النور والسلام
بكل تواضع ووداعة وبطول اناة محتملين بعضكم بعضا في المحبة.,أفسس ٤ : ٢,التواضع والوداعة في المحبة
الذي اذ شتم لم يكن يشتم عوضا واذ تألم لم يكن يهدد بل كان يسلم لمن يقضي بعدل.,بطرس الأولى ٢ : ٢٣,الاحتمال والصبر والثقة بعدل الله
وقال لهم كيف يقولون ان المسيح ابن داود.,لوقا ٢٠ : ٤١,هوية المسيح 
ولذلك قال ايضا في مزمور آخر لن تدع قدوسك يرى فسادا.,أعمال الرسل ١٣ : ٣٥,المسيح يغلب الفساد
فشعر بمكرهم وقال لهم لماذا تجربونني.,لوقا ٢٠ : ٢٣,الحكمة والتصدي للخبث
اذ كان مشتاقا الى جميعكم ومغموما لانكم سمعتم انه كان مريضا.,فيلبي ٢ : ٢٦,المحبة والاشتياق
ولكن سيلا رأى ان يلبث هناك.,أعمال الرسل ١٥ : ٣٤,الصبر والحكمة
سلموا بعضكم على بعض بقبلة مقدسة. كنائس المسيح تسلم عليكم,رومية ١٦ : ١٦,المحبة والوحدة
يسلم عليكم الاخوة اجمعون. سلموا بعضكم على بعض بقبلة مقدسة,كورنثوس الأولى ١٦ : ٢٠,المحبة والوحدة
فلما امتلأت اصعدوها على الشاطئ وجلسوا وجمعوا الجياد الى اوعية. واما الاردياء فطرحوها خارجا.,متى ١٣ : ٤٨,العمل بالكلمة
أفلست انت المصري الذي صنع قبل هذه الايام فتنة واخرج الى البرية اربعة الآلاف الرجل من القتلة.,أعمال الرسل ٢١ : ٣٨,الاتهام 
انا يوحنا اخوكم وشريككم في الضيقة وفي ملكوت يسوع المسيح وصبره كنت في الجزيرة التي تدعى بطمس من اجل كلمة الله ومن اجل شهادة يسوع المسيح.,رؤيا يوحنا ١ : ٩,التضحية والصبر
واسلكوا في المحبة كما احبنا المسيح ايضا واسلم نفسه لاجلنا قربانا وذبيحة للّه رائحة طيبة,أفسس ٥ : ٢,المحبة والتضحية
لان كل ما في العالم شهوة الجسد وشهوة العيون وتعظم المعيشة ليس من الآب بل من العالم.,يوحنا الأولى ٢ : ١٦,التحذير من مغريات العالم
ليكمّلكم في كل عمل صالح لتصنعوا مشيئته عاملا فيكم ما يرضي امامه بيسوع المسيح الذي له المجد الى ابد الآبدين. آمين,العبرانيين ١٣ : ٢١,العمل الصالح والطاعة
وانا نفسي ايضا متيقن من جهتكم يا اخوتي انكم انتم مشحونون صلاحا ومملوؤون كل علم. قادرون ان ينذر بعضكم بعضا.,رومية ١٥ : ١٤,المشاركة ومحبة الاخر
لكي تأكلي لحوم ملوك ولحوم قواد ولحوم اقوياء ولحوم خيل والجالسين عليها ولحوم الكل حرا وعبدا صغيرا وكبيرا,رؤيا يوحنا ١٩ : ١٨,الحكم والعدالة
لانه كما في آدم يموت الجميع هكذا في المسيح سيحيا الجميع.,كورنثوس الأولى ١٥ : ٢٢,القيامة مع المسيح
أفلا ينصف الله مختاريه الصارخين اليه نهارا وليلا وهو متمهل عليهم.,لوقا ١٨ : ٧,الاستجابة للصلوات
وشهد يوحنا قائلا اني قد رأيت الروح نازلا مثل حمامة من السماء فاستقر عليه.,يوحنا ١ : ٣٢,شهادة الروح القدس
حينئذ جاء يسوع من الجليل الى الاردن الى يوحنا ليعتمد منه.,متى ٣ : ١٣,التواضع وبداية المسيرة
وعبد الرب لا يجب ان يخاصم بل يكون مترفقا بالجميع صالحا للتعليم صبورا على المشقات,تيموثاوس الثانية ٢ : ٢٤,التواضع والصبر والثقة بالرب
ولماذا تهتمون باللباس. تأملوا زنابق الحقل كيف تنمو. لا تتعب ولا تغزل.,متى ٦ : ٢٨,التواضع والثقة والعناية في الله
ولكن ان كنت انا بروح الله اخرج الشياطين فقد اقبل عليكم ملكوت الله.,متى ١٢ : ٢٨,سلطان الله وملكوته
وسأله ما اسمك. فاجاب قائلا اسمي لجئون لاننا كثيرون.,مرقس ٥ : ٩,معرفة عميقة من الرب لكل انسان 
وكذلك الروح ايضا يعين ضعفاتنا. لاننا لسنا نعلم ما نصلّي لاجله كما ينبغي ولكن الروح نفسه يشفع فينا بأنّات لا ينطق بها.,رومية ٨ : ٢٦,الصلاة والروح القدس
وواحد من الاربعة الحيوانات اعطى السبعة الملائكة سبعة جامات من ذهب مملوءة من غضب الله الحي الى ابد الآبدين.,رؤيا يوحنا ١٥ : ٧,الغضب الإلهي
فلما رأى سمعان بطرس ذلك خرّ عند ركبتيّ يسوع قائلا اخرج من سفينتي يا رب لاني رجل خاطئ.,لوقا ٥ : ٨,التوبة والتواضع والخجل
ومتى تمما شهادتهما فالوحش الصاعد من الهاوية سيصنع معهما حربا ويغلبهما ويقتلهما.,رؤيا يوحنا ١١ : ٧,المعركة الروحية والشهادة
ان كان لنا في هذه الحياة فقط رجاء في المسيح فاننا اشقى جميع الناس.,كورنثوس الأولى ١٥ : ١٩,الرجاء في المسيح
فقالوا ما حاجتنا بعد الى شهادة لاننا نحن سمعنا من فمه,لوقا ٢٢ : ٧١,الشهادة والإيمان بالاختبار مع المسيح
وصار هذا معلوما عند جميع اليهود واليونانيين الساكنين في افسس. فوقع خوف على جميعهم وكان اسم الرب يسوع يتعظم.,أعمال الرسل ١٩ : ١٧,التوبة ومخافة الله
ولم يعطه فيها ميراثا ولا وطأة قدم ولكن وعد ان يعطيها ملكا له ولنسله من بعده ولم يكن له بعد ولد.,أعمال الرسل ٧ : ٥,العهد والميراث
لانه جاء يوحنا لا يأكل ولا يشرب. فيقولون فيه شيطان.,متى ١١ : ١٨,الاتهام وبالزور
بولس عبد ليسوع المسيح المدعو رسولا المفرز لانجيل الله,رومية ١ : ١,رسول الكلمة
ويل لكم ايها الكتبة والفريسيون المراؤون لانكم تعشرون النعنع والشبث والكمون وتركتم اثقل الناموس الحق والرحمة والايمان. كان ينبغي ان تعملوا هذه ولا تتركوا تلك.,متى ٢٣ : ٢٣,الإيمان الخاطئ وعدم الاكتراث بالاولويات
كل واحد كما ينوي بقلبه ليس عن حزن او اضطرار. لان المعطي المسرور يحبه الله.,كورنثوس الثانية ٩ : ٧,العطاء بفرح
غير مدمن الخمر ولا ضرّاب ولا طامع بالربح القبيح بل حليما غير مخاصم ولا محب للمال,تيموثاوس الأولى ٣ : ٣,الفضيلة والابتعاد عن الشهوات
ووجد يسوع جحشا فجلس عليه كما هو مكتوب,يوحنا ١٢ : ١٤,تحقيق النبوات والتواضع
قالوا له لانه لم يستأجرنا احد. قال لهم اذهبوا انتم ايضا الى الكرم فتأخذوا ما يحق لكم.,متى ٢٠ : ٧,الكل مدعو الى وليمة الاب
وان قلنا من الناس فجميع الشعب يرجموننا لانهم واثقون بان يوحنا نبي.,لوقا ٢٠ : ٦,الشهادة والإيمان
وبدون مثل لم يكن يكلمهم. واما على انفراد فكان يفسر لتلاميذه كل شيء,مرقس ٤ : ٣٤,التعليم والشرح
وفي اول ايام الفطير تقدم التلاميذ الى يسوع قائلين له اين تريد ان نعد لك لتاكل الفصح.,متى ٢٦ : ١٧,الطاعة والاتباع
وكما كان في ايام نوح كذلك يكون ايضا في ايام ابن الانسان.,لوقا ١٧ : ٢٦,فكر الله واحد على طول الازمنة
ثم ان كانت خدمة الموت المنقوشة باحرف في حجارة قد حصلت في مجد حتى لم يقدر بنو اسرائيل ان ينظروا الى وجه موسى لسبب مجد وجهه الزائل,كورنثوس الثانية ٣ : ٧,اعظمهم هو المسيح
والقادر ان يحفظكم غير عاثرين ويوقفكم امام مجده بلا عيب في الابتهاج,يهوذا ١ : ٢٤,الثقة في الله الكلي القدرة
فلما سمعوا نخسوا في قلوبهم وقالوا لبطرس ولسائر الرسل ماذا نصنع ايها الرجال الاخوة.,أعمال الرسل ٢ : ٣٧,التوبة والطاعة للجماعة الكنسية
فلمس يدها فتركتها الحمى. فقامت وخدمتهم.,متى ٨ : ١٥,الشفاء بقدرة الله ثم الخدمة
